,Trigger API,Action API,Trigger Variables,Action Variables
0,salesforce,hubspot,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Update Contact', 'Create Contact', 'Create Company', 'Create Deal', 'Update Deal', 'Update Company', 'Create Engagement', 'Add Contact To Workflow', 'Find Contact', 'Get Contact', 'Get Company', 'Get Deal', 'Update Ticket', 'Create Calendar Task', 'Add Contact To List', 'Create Ticket', 'Create/Update Contact', 'Submit Data To Form', 'Get File Public Url', 'Create Social Media Message', 'Create Associations', 'Update Product', 'Find Company', 'Find Associations', 'Create Product', 'Get Ticket', 'Find Deal', 'Remove Contact From List', 'Create Blog Post', 'Create Form Submission', 'Get Contact By Id', 'Find/Create Company', 'Find/Create Deal', 'Remove Contact From Workflow', 'Make Api Call', 'Find Products', 'Find Tickets', 'Find Deal By Id', 'Create/Update Contact (Legacy)', 'Archive Company', 'Search For Contacts', 'Archive Deal', 'Archive Product', 'Delete File', 'Associate Deal With Company', 'Associate Deal With Contact', 'Associate Multiple Crm Objects', 'Cancel Broadcast Message', 'Create Folder', 'Create Broadcast Message', 'Delete Calendar Task', 'Find Deal By Name', 'Find Deals Associated With Contact', 'Find Ticket By Id', 'Update Record', 'Get File Uploaded Via Form', 'List Owners', 'Update Email Subscription', 'Get Ticket By Id', 'Find Form By Id', 'Archive Ticket', 'Delete Record', 'Get Record', 'Delete Folder', 'Find Contact By Email', 'List Files', 'Delete Ticket', 'Find/Create Product', 'Find Ticket', 'Create Record', 'Make Api Request (Beta)', 'Find Contact By Id', 'Find Product', 'List Forms', 'Move File', 'List Tickets', 'Find/Create Ticket', 'Find/Create Contact', 'Upload File', 'List Records', 'Find Company By Name', 'Find Company By Id', 'Find Company By Domain', 'Find Product By Id', 'Get Product', 'Add Contacts To List', 'Archive Contact', 'Delete Blog Post']"
1,salesforce,slack,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Channel', 'Send Channel Message', 'Set Status', 'Set Channel Topic', 'Update Profile', 'Send Direct Message', 'Add Star', 'Find User By Email', 'Update Message', 'Delete File', 'Complete Reminder', 'Unarchive Channel', 'Archive Channel', 'Leave Channel', 'Delete Message', 'Invite User To Channel', 'Add Reminder', 'Get File', 'Join Channel', 'Delete Reminder', 'Get Reminder', 'Remove Star', 'Find User By Id', 'List Users', 'Get Channel', 'Find Message', 'Kick User', 'List Members In Channel', 'List Replies', 'Create Reminder', 'Upload File', 'List Reminders', 'Send Private Channel Message', 'Set Channel Purpose', 'List Files', 'Send Group Message', 'List Channels', 'Search User By Email', 'Create Text File', 'Get User By Id', 'Search User', 'Download File', 'Save Item', 'Search User By Id', 'Find User By Username', 'Get User', 'Search Message', 'Pin Message', 'Make Api Call', 'Unpin Message', 'Send Custom Message', 'Find User By Name', 'Invite Users', 'Schedule Message', 'Search For User']"
2,salesforce,google-sheets,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Spreadsheet', 'Delete Row', 'Update Row', 'Create Spreadsheet Row', 'Update Spreadsheet Row', 'Delete Spreadsheet Row', 'List Sheets', 'Delete Sheet', 'Create Worksheet', 'Copy Worksheet', 'Create Spreadsheet Column', 'Add Row', 'Create Spreadsheet Row(Line Item Support)', 'Update Row Values', 'Append Values', 'Copy Spreadsheet', 'Update Cell Value', 'Get Row(S)', 'Make Api Call', 'Find/Create Row', 'Create Sheet', 'Search Row Using Column And Value', 'Add Row To Spreadsheet', 'Copy Sheet', 'Update Cell', 'Search Rows', 'Lookup Spreadsheet Rows', 'Add Multiple Rows', 'Update Range Values', 'Search Spreadsheet', 'Delete Values', 'Copy Sheet Data', 'Add New Row']"
3,salesforce,gmail,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Send Email', 'Create Draft', 'Create Label', 'Remove Label From Email', 'Add Label To Email', 'Copy Email', 'Update Label', 'Mark Email As Unread', 'Mark Email As Read', 'Send Yourself Email', 'Find Email', 'Move Email', 'Delete Label', 'Delete Email']"
4,salesforce,bitrix24,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Update Deal', 'Delete Invoice', 'Update Company', 'Create Company', 'Create Deal', 'Update Lead', 'Create Contact', 'Update Contact', 'Create Lead', 'Search Deal', 'Get Lead By Id', 'Get Deal', 'Search Leads', 'Search Companies', 'Search Deals', 'Company Search', 'Contact Search', 'Search Contact', 'Make Api Call', 'Create Task', 'Delete Contact', 'Update Task', 'Create Invoice', 'Get Contact', 'Delete Task', 'Get Task', 'Search Contacts', 'Get Invoice', 'Get Company', 'Get Lead', 'Search Lead', 'Search Invoices', 'Delete Lead', 'Search Tasks', 'Delete Company', 'Search Company', 'Delete Deal']"
6,salesforce,calendly,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Get Event Type', 'Make Api Request (Beta)', 'Get User', 'Get Event', 'List Events', 'Make Api Call']"
7,salesforce,mailchimp,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Campaign', 'Send Campaign', 'Add Note To Subscriber', 'Add/Update Subscriber', 'Create Custom Event', 'Update Campaign', 'Unsubscribe Email', 'Add Member To Segment', 'Search Campaigns', 'Remove Member From Segment', 'Get Campaign', 'Delete List', 'Search Lists', 'Add/Remove Member Tags', 'Find Customer', 'Edit Campaign Template Content', 'Update List', 'Get Campaign Report', 'Add Tag To Subscriber', 'Add Subscriber To Tag', 'Delete List Member', 'Find Campaign', 'Get List', 'Delete Campaign', 'Create List', 'Search Subscribers', 'Remove Tag From Subscriber', 'Add Event', 'Find/Create Tag', 'Find Subscriber By Email', 'Remove Subscriber From Tag', 'Find Campaign By Id', 'Edit Subscriber', 'Get Members', 'List Member Tags', 'Get Campaign By Id', 'Make Api Request (Beta)', 'Add Member Tag', 'Create Folder', 'Add New Member With Custom Fields', 'Remove Member Tag', 'Add Member Note', 'Update Member', 'Find Member', 'Get List Tags', 'Remove Member Tag (Tag List)', 'Update Member With Custom Fields', 'Get List Segments', 'Find/Create Campaign', 'Make Api Call', 'Create Order', 'Create Tag', 'Update Subscriber', 'Find Subscriber', 'Remove Subscriber', 'Create/Update Subscriber', 'Get Subscriber', 'Find Tag', 'Create File', 'Add New Subscriber', 'Find/Create Subscriber']"
8,salesforce,stripe,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Update Customer', 'Create Customer', 'Create Subscription', 'Create Payment Link', 'Delete Customer', 'Create Product', 'Create Invoice', 'Cancel Payment Intent', 'Create Payment Intent', 'Retrieve Payout', 'Capture Payment Intent', 'Create Price', 'Update Refund', 'Update Invoice', 'Retrieve Payment Intent', 'Cancel Subscription', 'Send Invoice', 'Retrieve Refund', 'Create Payout', 'Create Invoice Item', 'Confirm Payment Intent', 'Create Refund', 'Cancel Payout', 'Find Customer By Email', 'Find Invoice By Id', 'Retrieve Balance Transaction', 'Retrieve Product', 'Finalize Draft Invoice', 'Create Coupon', 'Retrieve Balance', 'Retrieve Customer', 'Create Charge', 'Void Invoice', 'Delete Draft Invoice', 'Retrieve Invoice', 'Delete Invoice Item', 'Update Invoice Item', 'Update Payout', 'Create Payment Method', 'List Payment Intents', 'Update Payment Intent', 'Update Product', 'Search Invoices', 'Find Charge', 'Find Customer', 'Retrieve Subscription By Id', 'List Payouts', 'Delete Product', 'Update Charge', 'Update Invoice Line Item', 'List Invoices', 'Retrieve Customer By Id', 'Find Payment', 'List Refunds', 'Update Coupon', 'Find Subscription', 'List Customers', 'Delete Coupon', 'Find Product By Id', 'Find Customer By Id', 'Search Customers', 'Search Product By Name', 'Create Invoice Line Item', 'Create Invoice Item With Price Object', 'Create Card Token', 'Find Invoice', 'Charge Card', 'Finalize Invoice', 'Retrieve Customer By Email', 'Make Api Call', 'Create Card', 'List All Customers', 'Delete Invoice Line Item', 'Deactivate Payment Link', 'Find Product By Name']"
9,salesforce,airtable,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Update Record', 'Create Record', 'Delete Record', 'Get Record', 'Search Record', 'Find Record', 'Search Records', 'Make Api Call', 'Create New Record', 'Search Record By View', 'Get All Record', 'Find/Create Record', 'List Records', 'Upsert Record', 'Make Api Request (Beta)']"
10,salesforce,twilio,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Send Sms', 'Call Phone', 'Get Message', 'Get Call', 'List Calls', 'Delete Call', 'List Message Media', 'Download Recording Media', 'List Recording Transcriptions', 'Delete Message', 'List Messages', 'Create Execution', 'Send Sms Message', 'Send Mms Message', 'Send Mms', 'Create Call', 'Create Message', 'Make Phone Call', 'Make Api Call']"
